"Treatment","Crop","MD","Trap","Date","total_now","males","prop_males","attractant","phero_lure"
"PpoCombo","Alm","No",325,2017-08-08,51,40,0.784313725490196,"PPO","Pheromone lure"
"PpoCombo","Alm","No",325,2017-08-23,37,34,0.918918918918919,"PPO","Pheromone lure"
"PpoCombo","Alm","No",334,2017-06-15,9,6,0.666666666666667,"PPO","Pheromone lure"
"PpoCombo","Alm","No",334,2017-06-28,64,51,0.796875,"PPO","Pheromone lure"
"PpoCombo","Alm","No",334,2017-07-06,13,13,1,"PPO","Pheromone lure"
"PpoCombo","Alm","No",334,2017-07-11,24,20,0.833333333333333,"PPO","Pheromone lure"
"PpoCombo","Alm","No",334,2017-07-20,19,15,0.789473684210526,"PPO","Pheromone lure"
"PpoCombo","Alm","No",334,2017-08-01,50,26,0.52,"PPO","Pheromone lure"
"PpoCombo","Alm","No",334,2017-08-08,33,24,0.727272727272727,"PPO","Pheromone lure"
"PpoCombo","Alm","No",334,2017-08-23,32,24,0.75,"PPO","Pheromone lure"
"PpoCombo","Alm","No",344,2017-06-15,8,8,1,"PPO","Pheromone lure"
"PpoCombo","Alm","No",344,2017-06-28,46,31,0.673913043478261,"PPO","Pheromone lure"
"PpoCombo","Alm","No",344,2017-07-06,58,47,0.810344827586207,"PPO","Pheromone lure"
"PpoCombo","Alm","No",344,2017-07-11,24,22,0.916666666666667,"PPO","Pheromone lure"
"PpoCombo","Alm","No",344,2017-07-20,16,14,0.875,"PPO","Pheromone lure"
"PpoCombo","Alm","No",344,2017-08-01,48,44,0.916666666666667,"PPO","Pheromone lure"
"PpoCombo","Alm","No",344,2017-08-08,39,31,0.794871794871795,"PPO","Pheromone lure"
"PpoCombo","Alm","No",344,2017-08-23,28,23,0.821428571428571,"PPO","Pheromone lure"
"PpoCombo","Alm","No",354,2017-06-15,7,7,1,"PPO","Pheromone lure"
"PpoCombo","Alm","No",354,2017-06-22,4,4,1,"PPO","Pheromone lure"
"PpoCombo","Alm","No",354,2017-07-06,105,82,0.780952380952381,"PPO","Pheromone lure"
"PpoCombo","Alm","No",354,2017-07-11,24,19,0.791666666666667,"PPO","Pheromone lure"
"PpoCombo","Alm","No",354,2017-07-20,18,16,0.888888888888889,"PPO","Pheromone lure"
"PpoCombo","Alm","No",354,2017-07-27,14,13,0.928571428571429,"PPO","Pheromone lure"
"PpoCombo","Alm","No",354,2017-08-01,94,68,0.723404255319149,"PPO","Pheromone lure"
"PpoCombo","Alm","No",354,2017-08-08,50,31,0.62,"PPO","Pheromone lure"
"PpoCombo","Alm","No",354,2017-08-23,24,18,0.75,"PPO","Pheromone lure"
"PpoCombo","Alm","No",364,2017-06-15,9,6,0.666666666666667,"PPO","Pheromone lure"
"PpoCombo","Alm","No",364,2017-06-28,103,86,0.83495145631068,"PPO","Pheromone lure"
"PpoCombo","Alm","No",364,2017-07-06,83,62,0.746987951807229,"PPO","Pheromone lure"
"PpoCombo","Alm","No",364,2017-07-11,30,21,0.7,"PPO","Pheromone lure"
