"TrtCode","Treatment","Rep","TrapID","Site","Crop","MD","Count","Male","EndDate","StartDate","prop_males","attractant","phero_lure"
"B","Ppo","6",263,"VistaVerde","Pis","Yes",15,15,2018-04-30,2018-04-09,1,"PPO","No pheromone lure"
"B","Ppo","7",271,"VistaVerde","Pis","Yes",23,20,2018-04-30,2018-04-09,0.869565217391304,"PPO","No pheromone lure"
"B","Ppo","8",282,"VistaVerde","Pis","Yes",12,9,2018-04-30,2018-04-09,0.75,"PPO","No pheromone lure"
"B","Ppo","1",211,"VistaVerde","Pis","Yes",23,21,2018-05-08,2018-04-30,0.91304347826087,"PPO","No pheromone lure"
"B","Ppo","2",222,"VistaVerde","Pis","Yes",10,10,2018-05-08,2018-04-30,1,"PPO","No pheromone lure"
"B","Ppo","3",234,"VistaVerde","Pis","Yes",23,14,2018-05-08,2018-04-30,0.608695652173913,"PPO","No pheromone lure"
"B","Ppo","4",243,"VistaVerde","Pis","Yes",12,11,2018-05-08,2018-04-30,0.916666666666667,"PPO","No pheromone lure"
"B","Ppo","5",253,"VistaVerde","Pis","Yes",22,19,2018-05-08,2018-04-30,0.863636363636364,"PPO","No pheromone lure"
"B","Ppo","6",263,"VistaVerde","Pis","Yes",23,20,2018-05-08,2018-04-30,0.869565217391304,"PPO","No pheromone lure"
"B","Ppo","7",271,"VistaVerde","Pis","Yes",27,20,2018-05-08,2018-04-30,0.740740740740741,"PPO","No pheromone lure"
"B","Ppo","8",282,"VistaVerde","Pis","Yes",34,30,2018-05-08,2018-04-30,0.882352941176471,"PPO","No pheromone lure"
"B","Ppo","1",211,"VistaVerde","Pis","Yes",7,6,2018-05-15,2018-05-08,0.857142857142857,"PPO","No pheromone lure"
"B","Ppo","2",222,"VistaVerde","Pis","Yes",5,4,2018-05-15,2018-05-08,0.8,"PPO","No pheromone lure"
"B","Ppo","3",234,"VistaVerde","Pis","Yes",6,1,2018-05-15,2018-05-08,0.166666666666667,"PPO","No pheromone lure"
"B","Ppo","4",243,"VistaVerde","Pis","Yes",7,4,2018-05-15,2018-05-08,0.571428571428571,"PPO","No pheromone lure"
